ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
90,3,2,3,2,78,4,0,0,40,81,1
91,4,2,3,4,190,1,1,0,17,1644,1
92,0,2,2,3,79,0,2,0,6,184,1
93,1,2,1,2,123,1,2,0,16,1760,1
94,2,2,2,0,117,2,0,0,34,1168,1
95,4,2,0,2,139,1,1,1,56,983,1
96,3,2,1,2,53,0,2,1,17,220,1
97,4,2,2,0,175,0,2,0,7,1197,1
98,0,2,1,4,48,2,2,1,4,100,1
99,1,2,2,1,49,0,2,1,20,597,1
100,2,2,3,2,47,0,2,1,58,809,1
101,4,2,3,4,131,2,1,1,52,1324,1
102,3,2,0,0,117,1,1,1,28,1390,1
103,4,2,3,0,48,2,1,1,36,637,1
104,0,2,1,2,122,1,1,1,2,1121,1
105,1,2,2,1,48,1,2,1,58,569,1
106,2,2,1,0,142,1,1,1,16,1324,1
107,4,2,2,4,120,1,0,1,25,995,1
108,3,2,2,4,142,1,0,0,54,1689,1
109,4,2,2,0,45,1,2,1,46,244,1
110,0,1,1,0,62,0,1,1,1,278,1
111,1,1,2,1,143,1,1,0,64,1934,1
112,2,1,2,2,79,0,1,1,24,789,1
113,4,1,1,1,167,1,1,1,40,1438,1
114,3,1,1,4,72,0,0,1,49,596,1
115,4,1,1,3,80,1,0,1,35,754,1
116,0,1,2,0,54,2,0,1,59,23,1
117,1,1,2,2,169,0,2,0,30,1158,1
118,2,1,0,4,167,1,1,0,4,1512,1
119,4,1,3,0,49,1,1,1,19,374,1
120,3,1,2,1,87,1,1,0,32,1396,1
121,4,1,1,2,109,1,2,0,18,1063,1
122,0,1,2,1,64,1,1,1,63,693,1
123,1,1,1,2,156,0,2,0,47,1029,1
124,2,1,3,4,126,1,1,1,9,1136,1
125,4,1,1,2,107,0,1,1,24,1888,1
126,3,1,2,4,124,1,2,1,39,1834,1
127,4,1,1,2,51,2,1,0,59,700,1
128,0,1,2,3,104,2,2,1,15,1000,1
129,1,1,2,4,128,2,2,1,20,977,1
130,2,1,1,4,83,0,1,0,16,351,1
131,4,1,1,3,48,1,1,1,49,835,1
132,3,0,3,1,151,1,1,1,16,2062,1
133,4,0,3,3,184,4,2,0,50,1874,1
134,0,0,1,2,72,0,2,0,0,801,1
135,1,0,1,4,61,1,2,0,3,858,1
136,2,0,1,2,93,2,2,0,50,1094,1
137,4,0,1,4,66,0,2,1,6,716,1
138,3,0,2,0,111,3,1,1,47,1195,1
139,4,0,3,0,141,0,1,0,9,2047,1
140,0,0,2,3,168,1,0,1,58,973,1
141,1,0,3,3,53,1,1,1,50,624,1
142,2,0,3,4,66,1,1,1,40,445,1
143,4,0,0,0,109,2,2,0,62,1059,1
144,3,0,0,0,62,1,2,0,50,521,1
145,4,0,0,1,152,0,1,1,45,1951,1
146,0,0,1,4,95,1,1,1,22,1983,1
147,1,0,2,2,50,2,2,0,23,815,1
148,2,0,1,2,39,1,1,1,55,472,1
149,4,0,3,0,53,1,1,1,39,58,1
150,3,0,2,3,124,0,2,0,6,1283,1
151,4,0,3,2,2,3,2,1,43,263,1
152,0,0,1,3,1,2,1,1,31,232,1
153,1,0,1,2,87,0,1,1,52,2082,1
154,2,2,1,2,66,1,2,0,7,839,1
155,4,2,3,0,18,2,1,0,46,427,1
156,3,2,4,2,179,3,1,1,40,1254,1
157,4,2,1,1,107,0,2,0,38,2040,1
158,0,2,3,4,109,0,0,1,64,1928,1
159,1,2,1,2,53,1,1,0,62,910,1
160,2,2,0,1,16,2,2,1,55,134,1
161,4,2,1,0,111,1,2,0,55,1814,1
162,3,2,2,0,165,2,1,0,57,1781,1
163,4,2,3,1,178,1,2,1,5,1755,1
164,0,2,1,4,45,0,1,1,51,671,1
165,1,2,1,2,70,2,2,0,16,480,1
166,2,2,3,1,45,1,0,0,33,19,1
167,4,2,2,4,56,1,1,1,42,688,1
168,3,2,2,1,154,1,1,0,52,1246,1
169,4,2,2,2,65,1,2,0,27,782,1
170,0,2,2,2,89,1,2,0,9,1127,1
171,1,2,2,3,80,2,0,0,51,92,1
172,2,2,1,3,52,1,1,1,55,531,1
173,4,2,1,1,174,1,1,0,62,1404,1
174,3,2,1,2,146,1,1,0,50,2084,1
175,4,2,2,3,54,0,2,1,2,279,1
176,0,2,2,4,96,1,0,1,19,2052,1
177,1,2,2,4,20,1,2,1,53,304,1
178,2,2,1,2,96,1,2,0,1,2120,1
179,4,2,3,4,159,2,2,1,2,1788,1
180,3,2,2,0,65,5,2,0,17,286,1
181,4,2,2,4,61,1,1,1,19,469,1
182,0,2,1,1,68,7,0,0,27,904,1
183,1,2,1,4,66,5,2,0,15,48,1
184,2,2,1,2,50,0,1,1,49,468,1
185,4,2,1,1,113,1,2,1,53,1546,1
186,3,2,3,3,38,0,2,0,54,373,1
187,4,2,0,0,126,0,2,1,4,2000,1
188,0,2,0,4,43,1,1,0,26,228,1
189,1,2,0,3,38,1,1,0,41,400,1
190,2,2,0,4,34,1,1,1,15,88,1
191,4,2,0,4,37,1,1,0,61,577,1
192,3,2,0,3,44,1,1,0,6,397,1
193,4,2,0,1,62,1,1,1,27,931,1
194,0,2,2,1,174,2,1,0,45,713,1
195,1,2,0,4,44,1,1,0,29,28,1
196,2,2,0,1,39,1,1,1,14,328,1
197,4,2,0,2,40,1,1,0,18,549,1
198,3,2,0,2,46,1,2,0,37,4031,1
199,4,2,0,1,58,1,2,1,37,4033,1
200,0,2,0,2,43,1,1,1,8,453,1
201,1,2,0,2,64,1,1,0,42,245,1
202,2,2,0,3,38,1,1,1,57,63,1
203,4,2,3,2,65,3,0,1,47,853,1
204,3,2,0,4,59,1,1,1,22,583,1
205,4,2,0,2,49,1,2,0,23,4030,1
206,0,2,0,1,61,1,1,1,0,459,1
207,1,2,0,1,64,1,1,1,47,670,1
208,2,2,0,3,56,1,1,1,54,480,1
209,4,2,0,4,52,1,0,0,10,484,1
210,3,2,0,0,31,1,1,0,14,504,1
211,4,2,0,4,58,1,1,0,20,109,1
212,0,2,0,4,31,1,1,1,43,330,1
213,1,2,0,4,64,1,2,0,30,4029,1
214,2,2,0,3,33,1,1,0,47,214,1
215,4,2,0,4,62,1,1,0,39,700,1
216,3,2,2,2,89,1,2,1,2,1620,1
217,4,2,2,3,80,2,0,0,62,285,1
218,0,2,1,3,52,1,1,1,36,505,1
219,1,2,1,4,174,1,1,1,59,2060,1
220,2,2,1,3,146,1,1,1,28,1187,1
221,4,2,2,2,54,0,2,1,30,569,1
222,3,2,2,1,96,1,0,1,3,1001,1
223,4,2,2,4,20,1,2,0,8,304,1
224,0,2,1,3,96,1,2,0,30,1724,1
225,1,2,3,3,159,2,2,0,37,1416,1
226,2,2,2,2,65,5,2,1,62,478,1
227,4,2,2,1,61,1,1,0,47,380,1
228,3,2,1,1,68,7,0,1,13,362,1
229,4,2,1,2,66,5,2,0,41,272,1
230,0,2,1,0,50,0,1,0,53,510,1
231,1,2,1,3,113,1,2,0,59,1113,1
232,2,2,3,4,38,0,2,1,52,84,1
233,4,2,0,0,126,0,2,1,57,1900,1
234,3,2,0,0,43,1,1,0,38,563,1
235,4,2,0,1,38,1,1,1,37,341,1
236,0,2,0,2,34,1,1,0,47,774,1
237,1,2,0,1,37,1,1,1,4,262,1
238,2,2,0,2,44,1,1,0,22,359,1
239,4,2,0,2,62,1,1,1,9,497,1
240,3,2,2,4,174,2,1,1,64,791,1
241,4,2,0,3,44,1,1,0,32,272,1
242,0,2,0,1,39,1,1,1,57,711,1
243,1,2,0,3,40,1,1,1,42,922,1
244,2,2,0,0,46,1,2,0,7,4026,1
245,4,2,0,3,58,1,2,0,47,4032,1
246,3,2,0,2,43,1,1,0,2,763,1
247,4,1,0,3,64,1,1,0,49,28,1
248,0,1,0,1,38,1,1,0,37,512,1
249,1,1,3,4,65,3,0,0,53,493,1
250,2,1,0,2,59,1,1,0,44,619,1
251,4,1,0,1,49,1,2,0,4,4027,1
252,3,1,0,0,61,1,1,1,57,895,1
253,4,1,0,4,64,1,1,0,18,386,1
254,0,1,0,1,56,1,1,0,60,773,1
255,1,1,0,1,52,1,0,0,34,338,1
256,2,1,0,1,31,1,1,1,12,124,1
257,4,1,0,1,33,1,2,0,21,4028,1
258,3,1,0,2,62,1,1,0,12,239,1
259,4,1,0,3,51,1,1,1,4,885,1
260,0,1,0,4,63,1,1,0,48,601,1
261,1,1,0,2,55,1,1,0,22,895,1
262,2,1,1,0,198,2,1,0,51,85,1
263,4,1,1,1,130,0,2,1,44,430,1
264,3,1,3,2,175,3,0,1,8,786,1
265,4,1,5,1,107,3,2,0,60,826,1
266,0,1,0,2,168,2,1,0,9,627,1
267,1,1,2,0,162,1,2,1,35,1095,1
268,2,1,1,4,145,1,1,0,20,1589,1
269,4,0,2,4,112,1,2,1,22,997,1
270,3,0,1,1,113,3,2,0,11,1576,1
271,4,0,3,0,86,0,2,0,22,1369,1
272,0,0,2,4,52,0,2,0,42,83,1
273,1,0,0,2,87,0,2,0,51,1661,1
274,2,0,1,4,133,4,2,1,21,1378,1
275,4,0,3,4,19,3,1,0,25,671,1
276,3,0,2,1,40,1,1,0,64,926,1
277,4,0,2,3,116,1,1,1,20,1716,1
278,0,0,2,2,75,1,1,0,23,295,1
279,1,0,1,0,55,0,1,1,59,890,1
280,2,0,1,0,109,1,2,1,38,1577,1
281,4,0,3,3,51,1,2,1,22,128,1
282,3,0,1,2,59,1,1,0,28,691,1
283,4,0,3,3,69,1,1,0,19,146,1
284,0,0,3,4,134,1,1,0,31,1684,1
285,1,0,0,3,85,2,2,1,12,1151,1
286,2,0,3,2,138,0,1,0,54,1717,1
287,4,0,2,3,53,1,1,1,33,940,1
288,3,0,3,4,60,0,1,1,43,542,1
289,4,0,2,1,76,1,2,0,58,828,1
290,0,0,2,3,174,1,1,1,11,1703,1
291,1,2,2,0,110,1,2,1,22,2016,1
292,2,2,2,2,115,2,2,1,39,1606,1
293,4,2,1,1,40,2,1,1,61,86,1
294,3,2,3,0,90,0,0,0,51,2111,1
295,4,2,1,0,106,0,2,1,61,1763,1
296,0,2,2,1,87,1,2,0,11,1914,1
297,1,2,2,3,136,0,1,1,35,1460,1
298,2,2,2,1,51,2,2,1,51,125,1
299,4,2,2,2,40,1,2,1,19,513,1
300,3,2,3,2,31,1,1,0,42,430,1
301,4,2,2,4,106,0,2,1,34,1943,1
302,0,2,1,3,145,0,1,1,56,1928,1
303,1,2,2,2,126,0,2,1,54,2033,1
304,2,2,1,1,87,2,2,0,11,1420,1
305,4,2,2,3,153,1,2,0,35,1994,1
306,3,2,1,0,147,2,0,1,58,2036,1
307,4,2,1,2,67,1,2,1,8,251,1
308,0,2,2,1,69,0,0,1,10,577,1
309,1,2,3,4,170,1,2,0,52,1596,1
310,2,2,1,3,97,0,2,1,47,2074,1
311,4,2,1,1,58,1,1,0,55,132,1
312,3,2,1,2,44,1,2,1,50,43,1
313,4,2,2,2,176,1,2,1,37,1949,1
314,0,2,2,1,47,4,2,1,19,633,1
315,1,2,2,1,42,1,1,0,29,778,1
316,2,2,2,1,142,0,0,1,16,1741,1
317,4,2,2,4,177,2,2,0,30,1182,1
318,3,2,1,0,104,0,2,1,26,1283,1
319,4,2,2,4,117,2,1,1,38,1187,1
320,0,2,1,3,128,0,2,0,14,1366,1
321,1,2,2,4,45,1,2,1,11,651,1
322,2,2,1,2,54,1,1,1,45,37,1
323,4,2,1,0,96,0,1,1,32,1439,1
324,3,2,3,0,183,2,2,0,23,1788,1
325,4,2,1,3,150,1,2,1,29,1981,1
326,0,2,1,3,77,1,2,1,51,568,1
327,1,2,2,3,137,2,2,0,58,1174,1
328,2,2,3,0,178,0,2,1,23,1208,1
329,4,2,2,4,147,2,2,0,40,1422,1
330,3,2,1,3,101,1,2,0,55,1781,1
331,4,2,2,2,44,1,0,0,45,68,1
332,0,2,1,4,119,1,2,0,21,1300,1
333,1,2,1,3,115,1,2,1,7,1954,1
334,2,2,2,1,124,3,1,1,32,1457,1
335,4,2,1,0,98,2,1,1,63,977,1
336,3,2,3,0,166,1,2,0,57,1883,1
337,4,2,2,3,105,0,1,0,0,1633,1
338,0,2,1,4,165,1,2,1,14,1537,1
339,1,2,2,3,95,4,1,0,59,1780,1
340,2,2,0,4,159,3,2,0,52,1998,1
341,4,2,1,1,73,0,0,1,29,677,1
342,3,2,2,4,66,0,2,1,63,883,1
343,4,2,0,4,152,4,1,0,61,1403,1
344,0,2,3,2,101,2,1,0,1,1101,1
345,1,2,3,0,168,1,1,1,5,1471,1
346,2,2,3,4,164,0,2,0,54,1425,1
347,4,2,3,2,90,0,2,0,57,1125,1
348,3,2,2,4,137,2,1,0,43,1283,1
349,4,2,3,0,65,1,1,1,46,918,1
350,0,2,2,4,92,1,1,0,12,1201,1
351,1,2,3,4,75,0,2,0,21,674,1
352,2,2,0,1,171,1,2,1,14,1248,1
353,4,2,2,2,159,0,0,1,46,1518,1
354,3,2,1,1,36,1,1,0,55,294,1
355,4,2,3,0,170,1,1,0,30,1641,1
356,0,2,1,3,102,0,1,1,24,1418,1
357,1,2,0,2,151,0,2,0,61,1618,1
358,2,2,1,0,44,1,2,0,64,283,1
359,4,2,2,2,35,3,1,1,5,638,1
360,3,2,3,1,150,1,2,1,48,1677,1
361,4,2,1,1,63,1,2,0,3,660,1
362,0,2,1,4,107,0,2,1,60,1911,1
363,1,2,2,2,91,2,0,0,28,1628,1
364,2,2,4,1,50,1,1,0,61,901,1
365,4,2,1,1,138,1,2,1,38,1027,1
366,3,2,1,3,26,1,0,0,14,343,1
367,4,2,1,2,39,1,1,1,7,70,1
368,0,2,1,4,7,1,1,1,2,390,1
369,1,2,1,4,161,1,2,0,18,1067,1
370,2,2,2,2,73,0,1,1,1,386,1
371,4,2,2,4,63,1,2,1,17,781,1
372,3,2,2,4,92,1,1,1,37,1564,1
373,4,2,3,0,40,1,2,1,18,404,1
374,0,2,3,0,131,1,1,0,18,1548,1
375,1,2,1,4,166,0,1,0,52,1699,1
376,2,2,0,2,61,0,1,1,44,928,1
377,4,2,3,2,142,0,2,0,20,995,1
378,3,2,1,4,56,1,1,1,42,276,1
379,4,2,1,1,105,1,2,1,4,987,1
380,0,2,1,3,52,0,1,1,53,753,1
381,1,2,3,1,103,2,1,0,58,1472,1
382,2,2,3,3,119,0,1,0,44,1826,1
383,4,2,2,4,79,0,1,1,39,264,1
384,3,1,2,2,140,0,0,1,22,1615,1
385,4,1,0,4,86,0,2,0,56,1479,1
386,0,1,1,0,155,1,2,1,41,1946,1
387,1,1,3,1,77,1,1,0,6,825,1
388,2,1,2,2,129,1,1,0,61,1302,1
389,4,1,2,1,71,2,1,0,19,684,1
390,3,1,2,0,163,1,1,1,19,1058,1
391,4,1,2,0,82,1,2,0,62,554,1
392,0,1,2,3,82,2,2,0,12,594,1
393,1,1,3,3,73,0,1,0,19,740,1
394,2,1,1,1,176,0,1,1,32,1155,1
395,4,1,2,3,87,1,1,1,28,1686,1
396,3,1,1,3,109,1,1,0,9,1388,1
397,4,1,0,0,27,2,1,0,52,33,1
398,0,1,2,2,56,1,1,1,57,437,1
399,1,1,1,0,124,0,0,0,39,1996,1
400,2,1,2,2,38,1,1,1,50,928,1
401,4,1,1,1,121,0,0,1,18,1540,1
402,3,1,1,1,169,1,1,0,48,1425,1
403,4,1,2,1,153,3,2,1,35,2034,1
404,0,1,3,2,117,2,2,0,49,961,1
405,1,1,0,1,28,1,1,0,55,476,1
406,2,0,2,0,84,0,1,1,22,189,1
407,4,0,2,4,97,1,2,1,64,1129,1
408,3,0,1,1,96,1,2,1,42,1729,1
409,4,0,0,4,70,1,2,1,2,804,1
410,0,0,1,1,168,1,2,1,4,2048,1
411,1,0,1,3,104,0,2,1,13,1841,1
412,2,0,2,2,46,2,2,1,11,383,1
413,4,0,2,0,119,0,1,1,31,1580,1
414,3,0,0,0,122,0,1,1,14,1399,1
415,4,0,1,1,19,1,1,0,26,787,1
416,0,0,2,2,63,1,1,1,32,320,1
417,1,0,3,4,37,1,1,1,62,213,1
418,2,0,3,1,82,1,1,1,47,499,1
419,4,0,2,1,38,0,1,0,42,693,1
420,3,0,1,0,88,3,2,0,57,1280,1
421,4,0,2,1,155,0,2,1,23,1199,1
422,0,0,1,1,45,1,1,1,6,898,1
423,1,0,2,3,133,0,2,1,44,1999,1
424,2,0,2,0,107,2,1,1,33,2021,1
425,4,0,2,2,62,1,2,0,56,876,1
426,3,0,1,3,71,1,2,1,51,731,1
427,4,0,3,3,101,2,1,0,39,1714,1
428,0,2,0,1,44,1,1,0,18,779,1
429,1,2,3,0,109,0,2,1,26,1868,1
430,2,2,3,4,112,1,1,0,44,971,1
431,4,2,2,1,0,1,1,1,21,286,1
432,3,2,4,3,109,1,1,0,43,1004,1
433,4,2,2,1,119,1,2,0,47,1516,1
434,0,2,2,0,120,1,1,0,42,1334,1
435,1,2,1,0,16,0,0,1,21,817,1
436,2,2,3,3,126,1,1,0,19,1905,1
437,4,2,3,1,90,1,2,0,14,1057,1
438,3,2,1,4,145,1,2,1,47,1450,1
439,4,2,1,2,76,1,1,0,57,263,1
440,0,2,1,4,155,0,0,1,22,1210,1
441,1,2,3,2,94,1,0,1,44,1328,1
442,2,2,2,2,90,0,2,0,47,1433,1
443,4,2,2,3,111,0,2,1,34,1307,1
444,3,2,1,2,39,1,1,0,18,353,1
445,4,2,2,3,93,0,2,0,17,1517,1
446,0,2,2,3,77,3,2,0,50,670,1
447,1,2,1,3,98,1,2,1,2,1064,1
448,2,2,1,0,87,1,1,1,18,1555,1
449,4,2,2,2,44,0,1,0,21,242,1
450,3,2,2,3,148,1,2,0,54,1422,1
451,4,2,0,2,93,2,1,1,33,1738,1
452,0,2,1,1,61,0,2,1,52,377,1
453,1,2,2,0,179,7,2,0,22,1387,1
454,2,2,2,4,37,1,1,0,52,450,1
455,4,2,2,0,53,1,2,1,53,174,1
456,3,2,1,2,158,0,0,1,16,1638,1
457,4,2,1,3,49,6,1,0,14,413,1
458,0,2,1,1,83,3,1,0,51,952,1
459,1,2,3,1,72,1,1,1,25,508,1
460,2,2,2,0,106,1,2,0,17,2087,1
461,4,2,1,3,124,5,1,1,42,1321,1
462,3,2,1,3,148,6,1,1,0,1367,1
463,4,2,2,1,90,5,2,0,39,1609,1
464,0,2,3,1,167,6,2,1,23,1626,1
465,1,2,1,1,198,2,1,0,14,308,1
466,2,2,1,4,130,0,2,0,1,40,1
467,4,2,2,3,77,3,2,0,1,171,1
468,3,2,1,4,98,1,2,0,9,1135,1
469,4,2,1,4,87,1,1,0,1,1802,1
470,0,2,2,0,44,0,1,1,60,745,1
471,1,2,2,2,148,1,2,1,7,1721,1
472,2,2,0,1,93,2,1,1,8,1773,1
473,4,2,1,0,61,0,2,0,38,507,1
474,3,2,2,2,179,7,2,1,9,1024,1
475,4,2,2,4,37,1,1,1,58,88,1
476,0,2,2,1,53,1,2,1,25,833,1
477,1,2,1,3,158,0,0,0,40,2106,1
478,2,2,1,3,49,6,1,0,23,575,1
479,4,2,1,4,83,3,1,1,55,109,1
480,3,2,3,3,72,1,1,0,12,307,1
481,4,2,2,4,106,1,2,0,45,1652,1
482,0,2,1,2,124,5,1,1,24,1050,1
483,1,2,1,1,148,6,1,0,49,1864,1
484,2,2,2,2,90,5,2,0,29,1002,1
485,4,2,3,4,167,6,2,0,8,1110,1
486,3,2,1,0,198,2,1,0,24,480,1
487,4,2,2,0,43,1,1,0,55,784,1
488,0,2,5,4,96,1,1,1,45,531,1
489,1,2,1,2,139,1,1,1,4,1579,1
490,2,2,0,0,80,1,1,0,14,957,1
491,4,2,3,3,128,1,1,0,33,1327,1
492,3,2,1,3,32,1,2,0,50,506,1
493,4,2,3,3,130,3,1,1,46,1113,1
494,0,2,3,0,64,3,2,0,15,508,1
495,1,2,1,0,101,3,1,1,44,1103,1
496,2,2,2,1,120,1,1,0,11,1134,1
497,4,2,2,3,103,0,1,1,8,1586,1
498,3,2,3,4,175,0,1,1,26,2097,1
499,4,2,3,0,105,1,1,0,46,1341,1
500,0,2,1,3,116,0,1,1,32,974,1
501,1,2,1,1,81,1,1,1,9,620,1
502,2,2,1,3,95,2,2,0,42,1483,1
503,4,2,1,1,78,1,1,1,29,948,1
504,3,2,3,2,66,0,1,0,13,42,1
505,4,2,1,0,123,0,1,0,38,1363,1
506,0,2,2,3,59,1,2,0,34,405,1
507,1,2,3,2,134,1,2,0,2,1494,1
508,2,2,2,4,96,0,2,0,35,1258,1
509,4,2,3,1,139,1,1,1,13,1534,1
510,3,2,1,1,104,1,1,1,45,1911,1
511,4,2,3,1,76,1,2,1,64,646,1
512,0,2,3,3,64,2,1,0,5,584,1
513,1,2,3,2,154,3,1,1,11,1383,1
514,2,2,2,1,78,1,1,1,8,661,1
515,4,2,1,1,108,1,0,0,53,1889,1
516,3,2,1,4,178,1,2,0,50,1810,1
517,4,2,3,4,166,0,2,0,61,1979,1
518,0,2,2,4,42,1,2,1,22,760,1
519,1,2,1,0,119,1,2,0,1,2053,1
520,2,2,1,0,49,0,1,0,33,748,1
521,4,1,2,4,53,0,2,1,55,137,1
522,3,1,4,4,116,0,2,1,37,1175,1
523,4,1,1,0,59,1,2,0,46,189,1
524,0,1,3,1,58,1,1,1,39,232,1
525,1,1,1,2,153,1,2,1,50,1067,1
526,2,1,3,0,110,0,1,1,1,1820,1
527,4,1,2,4,139,1,2,0,21,968,1
528,3,1,3,4,165,1,2,0,7,1689,1
529,4,1,4,0,147,2,0,0,21,1846,1
530,0,1,1,1,141,0,0,1,25,1604,1
531,1,1,0,3,83,0,1,0,18,866,1
532,2,1,2,2,96,1,1,0,42,1824,1
533,4,1,1,0,45,1,2,0,38,810,1
534,3,1,1,1,149,1,1,0,60,1078,1
535,4,1,2,3,81,2,2,0,31,749,1
536,0,1,0,2,58,2,0,0,16,863,1
537,1,1,2,3,132,1,2,0,11,1742,1
538,2,1,1,2,111,4,0,0,23,1948,1
539,4,1,2,3,170,2,2,0,32,1366,1
540,3,1,1,2,76,1,2,0,41,686,1
541,4,1,2,2,46,1,1,0,34,494,1
542,0,1,2,4,122,1,1,0,39,1662,1
543,1,0,1,2,135,0,1,1,45,1523,1
544,2,0,2,1,84,1,1,0,46,418,1
545,4,0,1,0,72,1,1,1,45,856,1
546,3,0,3,4,51,2,0,0,41,621,1
547,4,0,3,3,149,3,1,1,5,1879,1
548,0,0,0,3,86,1,2,1,46,2010,1
549,1,0,1,3,80,1,2,0,7,548,1
550,2,0,3,2,101,2,2,0,50,1492,1
551,4,0,1,4,137,1,2,1,51,1837,1
552,3,0,1,3,60,0,1,1,7,141,1
553,4,0,0,2,161,2,2,0,51,1012,1
554,0,0,3,3,154,1,1,0,10,1753,1
555,1,0,3,3,93,3,1,1,2,1713,1
556,2,0,1,2,159,0,0,1,6,1718,1
557,4,0,0,2,102,0,2,1,27,1833,1
558,3,0,2,1,68,1,2,1,14,471,1
559,4,0,3,1,175,1,2,1,31,2005,1
560,0,0,1,0,89,0,2,0,33,1711,1
561,1,0,0,4,61,4,0,0,16,739,1
562,2,0,1,1,41,0,2,1,16,652,1
